"","Informazioni.cronologiche","gender","age","Occupation","Question.1","Question.2","Question.3","Question.4","Question.5","Question.6","Question.7","Question.8","Question.9","Fam_discount"
"1","19/08/2021 17.50.09","M",29,"Student","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Alternative 2","Yes"
"2","19/08/2021 18.07.54","F",54,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Alternative 2","Yes"
"3","19/08/2021 18.17.54","M",59,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"4","19/08/2021 18.45.27","M",29,"Worker","Alternative 3","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Yes"
"5","19/08/2021 18.46.17","M",28,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Yes"
"6","19/08/2021 18.58.46","M",27,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Yes"
"7","19/08/2021 18.59.39","M",27,"Worker","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","No"
"8","19/08/2021 19.16.34","F",29,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
"9","19/08/2021 19.17.49","M",28,"Student","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"10","19/08/2021 19.27.41","M",29,"Student","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Yes"
"11","19/08/2021 19.34.05","M",29,"Worker","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Yes"
"12","19/08/2021 21.08.52","F",29,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Yes"
